Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"ANT1","PCB_ANT","PCB_Antenna_2_4_GHz_ESP32",148.864000,-39.802000,90.000000,top
"C1","22pF","C_0402_1005Metric",164.004000,-69.688000,180.000000,top
"C2","22pF","C_0402_1005Metric",163.750000,-64.100000,0.000000,top
"C3","3p3","C_0402_1005Metric",152.654000,-49.542000,180.000000,top
"C4","3p3","C_0402_1005Metric",157.854000,-49.922000,-90.000000,top
"C5","100nF","C_0402_1005Metric",149.606000,-74.422000,180.000000,top
"C6","1uF","C_0402_1005Metric",160.584000,-65.302000,90.000000,top
"C7","10uF","C_0603_1608Metric",158.934000,-64.992000,90.000000,top
"C8","10uF","C_0603_1608Metric",161.754000,-60.302000,-90.000000,top
"C9","0.1uF","C_0402_1005Metric",159.074000,-72.420000,-90.000000,top
"C10","1uF","C_0402_1005Metric",160.174000,-58.402000,90.000000,top
"C11","1uF","C_0402_1005Metric",158.504000,-58.392000,90.000000,top
"C12","0.1uF","C_0402_1005Metric",156.714000,-61.922000,0.000000,top
"C14","0.1uF","C_0402_1005Metric",140.964000,-63.860000,180.000000,top
"C15","1uF","C_0805_2012Metric",133.704000,-87.942000,90.000000,top
"C16","100nF","C_0402_1005Metric",131.174000,-91.042000,180.000000,top
"C17","1uF","C_0402_1005Metric",131.174000,-89.592000,180.000000,top
"C18","4.7uF","C_0603_1608Metric",144.954000,-54.642000,90.000000,top
"C19","1uF","C_0402_1005Metric",149.414000,-46.950000,0.000000,top
"C20","2.2uF","C_0402_1005Metric",139.704000,-47.842000,90.000000,top
"C21","4.7uF","C_0603_1608Metric",150.754000,-52.542000,90.000000,top
"C23","0.1uF","C_0402_1005Metric",163.604000,-90.142000,180.000000,top
"C24","0.1uF","C_0402_1005Metric",165.354000,-89.692000,-90.000000,top
"D1","LED","LED_0603_1608Metric",147.704000,-55.592000,0.000000,top
"D2","D_Schottky","D_0603_1608Metric",132.904000,-50.292000,-90.000000,top
"D3","LED","LED_0603_1608Metric",137.604000,-48.029500,-90.000000,top
"IC1","CAT4004AHU2-GT3","SON50P200X200X55-9N",136.504000,-89.192000,-90.000000,top
"IC2","ADS1230IPWR","SOP65P640X120-16N",161.616000,-85.317000,180.000000,top
"IC3","ESP32-S3R8","QFN40P700X700X90-57N-D",153.414000,-68.582000,-90.000000,top
"J2","FH34SRJ-40S-0.5SH(50)","HRS_FH34SRJ-40S-0.5SH(50)",133.684000,-72.430000,-90.000000,top
"J3","Conn_01x02","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",163.004000,-48.692000,180.000000,top
"J4","TYPE-C-31-M-12","HRO_TYPE-C-31-M-12",148.879000,-96.320000,0.000000,top
"L1","2n2","L_0402_1005Metric",156.304000,-49.977000,-90.000000,top
"L2","2nH","L_0402_1005Metric",156.754000,-60.372000,180.000000,top
"Q1","AO3401A","SOT-23",136.966500,-55.542000,180.000000,top
"R1","3.74k","R_0805_2012Metric",136.091500,-92.092000,0.000000,top
"R2","5.1k","R_0805_2012Metric",141.334000,-93.782000,180.000000,top
"R3","10k","R_0805_2012Metric",138.354000,-63.492000,90.000000,top
"R4","5.1k","R_0805_2012Metric",141.304000,-95.932000,180.000000,top
"R6","10k","R_0805_2012Metric",145.304000,-59.854500,90.000000,top
"R7","1k","R_0805_2012Metric",147.604000,-53.092000,0.000000,top
"R8","10k","R_0805_2012Metric",130.204000,-50.142000,90.000000,top
"R9","2k","R_0805_2012Metric",157.601500,-55.742000,0.000000,top
"R10","1k","R_0805_2012Metric",135.054000,-47.954500,-90.000000,top
"SW3","PTS810_SJM_250_SMTR_LFS","SW_PTS810_SJM_250_SMTR_LFS",140.599000,-59.425000,0.000000,top
"SW4","PTS810_SJM_250_SMTR_LFS","SW_PTS810_SJM_250_SMTR_LFS",150.219000,-58.935000,0.000000,top
"TP2","TestPoint","Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork",156.004000,-94.842000,90.000000,top
"TP3","TestPoint","Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork",158.604000,-94.842000,90.000000,top
"TP4","TestPoint","Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork",161.404000,-90.092000,90.000000,top
"TP5","TestPoint","Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork",158.804000,-90.092000,90.000000,top
"TP6","TestPoint","Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork",146.154000,-47.240000,0.000000,top
"TP7","TestPoint","Pin_D0.7mm_L6.5mm_W1.8mm_FlatFork",142.964000,-47.240000,0.000000,top
"U2","W25Q32JVSS","SOIC-8_5.23x5.23mm_P1.27mm",146.050000,-78.232000,0.000000,top
"U3","MCP73831-3-OT","SOT-23-5",153.904000,-52.929500,-90.000000,top
"U4","AP2112K-3.3","SOT-23-5",138.854000,-51.579500,90.000000,top
"Y1","40MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",163.750000,-66.894000,90.000000,top
